X1,X2,cresp,,,,
SRKFMPHXQ,SRKFMPHXG,39,,1,,1. SRKFMPHXQ
MHJWLK,MHJWLK,37,,2,,2. MHJWLK
LXQ,LXY,39,,3,,3. LXQ
HVBNQCWRT,HVBNQCWGT,39,,4,,4. HVBNQCWRT
YVJ,YVQ,39,,5,,5. YVJ
KLCDQZ,KLHDQZ,39,,6,,6. KLCDQZ
LSVMNRQDY,LSVMNCQDY,39,,7,,7. LSVMNRQDY
YCT,YCT,37,,8,,8. YCT
RSXMVK,RSNMVK,39,,9,,9. RSXMVK
QBM,QBS,39,,10,,10. QBM
SRBNWT,SRBNWT,37,,11,,11. SRBNWT
LVXHJBDMP,LVXHJBDMP,37,,12,,12. LVXHJBDMP
NLGJYWQBM,NLGJYWQBM,37,,13,,13. NLGJYWQBM
SNP,QNP,39,,14,,14. SNP
FWVSPJ,FWVSPJ,37,,15,,15. FWVSPJ
DGVLSK,DGVLSK,37,,16,,16. DGVLSK
GDCYXZQPT,GNCYXZQPT,39,,17,,17. GDCYXZQPT
YFV,YFV,37,,18,,18. YFV
RJGPNB,RJGPVB,39,,19,,19. RJGPNB
PBM,PBM,37,,20,,20. PBM
CQGNSLMWX,CQGNSLTWX,39,,21,,21. CQGNSLMWX
FJMSBDTZN,FJMSBDTZN,37,,22,,22. FJMSBDTZN
LPY,LPY,37,,23,,23. LPY
JBZMRP,JBZMRN,39,,24,,24. JBZMRP
XNV,XNV,37,,25,,25. XNV
MRXCNJ,MRXCNJ,37,,26,,26. MRXCNJ
PRVWSTLYK,PRVWSTLYK,37,,27,,27. PRVWSTLYK
ZQRWYM,ZQXWYM,39,,28,,28. ZQRWYM
WHZJPXMVN,WHZJPXMVN,37,,29,,29. WHZJPXMVN
ZSH,ZSR,39,,30,,30. ZSH
